      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2025-10-18 11:57:24,      6,       3.62,           0,       0.03,        1.66,        0.00,        0.04,       6,       0
2025-10-18 11:57:38,      5,       9.27,           0,       0.02,        0.54,        0.00,        0.01,       5,       2
2025-10-18 12:00:22,      2,      19.33,           0,       0.01,        0.10,        0.00,        0.00,       2,       7
2025-10-20 15:26:53,      7,      16.56,           0,       0.10,        0.42,        0.00,        0.04,       7,       6
2025-10-20 15:35:13,   4416,     493.02,           2,       1.11,        8.96,        0.00,        9.94,    4416,      93
2025-10-20 15:35:23,    174,       4.93,           0,       1.27,       35.29,        0.00,       44.91,     174,       0
2025-10-20 15:36:51,   4305,      84.24,           2,       1.15,       51.10,        0.02,       58.72,    4305,     157
2025-10-20 15:49:05,  62452,     730.44,          42,       1.16,       85.50,        0.06,       98.86,   62452,    2617
2025-10-21 11:38:18, 424796,   71344.28,         288,434249465856.00,        5.95,        0.00,2585595215872.00,  424796,   33780
2025-10-21 11:40:19,    817,      23.60,           0,       1.10,       34.62,        0.00,       38.16,     817,      39
2025-10-21 11:41:13,    418,      11.31,           0,       0.94,       36.96,        0.00,       34.70,     418,       0
2025-10-23 15:04:16,    802,       4.50,           0,       0.98,      178.22,        0.00,      174.46,     768,      18
2025-10-23 15:10:13,   1740,      75.00,           4,       9.39,       23.20,        0.05,      217.76,    1672,   19089
2025-10-23 15:10:39,      0,       3.56,           0,        nan,        0.00,        0.00,        0.00,       0,       0
2025-10-23 15:11:34,    507,      37.18,           1,      15.92,       13.64,        0.03,      217.05,     483,   10488
2025-10-23 15:24:49,  37796,     790.52,          26,       1.68,       47.81,        0.03,       80.50,   36425,  100162
**** siege aborted due to excessive socket failure. ****
2025-10-23 17:46:43,  48201,     821.12,          32,       1.37,       58.70,        0.04,       80.71,   46415,  100173
**** siege aborted due to excessive socket failure. ****
2025-10-25 16:20:17,  19094,     352.21,          12,       1.87,       54.21,        0.03,      101.51,   18372,   39455
2025-11-03 12:41:10,  15985,     491.91,           4,       0.61,       32.50,        0.01,       19.91,   15200,     585
2025-11-03 21:24:08,  46373,    1539.24,          28,       0.66,       30.13,        0.02,       19.87,   44033,  100001
**** siege aborted due to excessive socket failure. ****
2025-11-03 21:51:54,  50831,    1614.88,          18,       0.63,       31.48,        0.01,       19.97,   48236,   28061
2025-11-03 21:52:11,    258,       7.66,           0,       0.50,       33.68,        0.00,       16.94,     244,       9
2025-11-03 21:52:19,    179,       3.95,           0,       0.38,       45.32,        0.00,       17.04,     174,       3
2025-11-03 21:52:25,    139,       2.88,           0,       0.35,       48.26,        0.00,       16.88,     135,       3
2025-11-03 22:18:52,  43255,    1374.37,          12,       0.63,       31.47,        0.01,       19.95,   41121,    5978
2025-11-03 22:29:05,  76820,     607.43,          20,       0.63,      126.47,        0.03,       79.73,   72995,    2960
2025-11-03 23:04:00, 106721,     842.20,          29,       0.63,      126.72,        0.03,       79.80,  101279,    4086
2025-11-03 23:04:13,    260,       7.34,           0,       0.46,       35.42,        0.00,       16.32,     251,      14
2025-11-03 23:12:43,   8000,     502.35,           2,       0.63,       15.93,        0.00,        9.96,    7562,     306
2025-11-04 09:22:21, 164679,   36557.42,          44,       2.21,        4.50,        0.00,        9.96,  156333,    6351
2025-11-04 09:22:31,      4,       2.64,           0,       0.65,        1.52,        0.00,        0.99,       4,       0
2025-11-04 09:31:51,  17060,     547.99,           4,       0.64,       31.13,        0.01,       19.97,   16192,     675
2025-11-04 18:46:09,      0,       8.22,           0,        nan,        0.00,        0.00,        0.00,       0,      20
2025-11-04 18:57:15,      0,       9.83,           0,        nan,        0.00,        0.00,        0.00,       0,    6368
2025-11-04 19:08:56,  13403,     428.81,           3,       0.64,       31.26,        0.01,       19.88,   12759,     504
2025-11-04 20:04:59,  11912,     372.10,           3,       0.62,       32.01,        0.01,       19.88,   11328,     486
